PS D:\python\NES emulator> python -m cProfile -s tottime NESemupy.py
pygame-ce 2.5.6 (SDL 2.32.10, Python 3.11.9)
enter path to the .nes file: SMB.py
error: file not found
enter path to the .nes file: SMB.nes
successfully loaded the ROM file
PRG banks: 2 (32KB)
CHR banks: 1
reset vector: $8000
have fun playing an NES game on python!
executed 29829 CPU instructions in 1.3060 seconds.
executed 29829 CPU instructions in 1.3437 seconds.
executed 29829 CPU instructions in 0.9173 seconds.
executed 29829 CPU instructions in 0.8122 seconds.
executed 29829 CPU instructions in 1.0228 seconds.
executed 29829 CPU instructions in 1.0053 seconds.
executed 29829 CPU instructions in 1.0235 seconds.
executed 29829 CPU instructions in 1.0537 seconds.
executed 29829 CPU instructions in 0.9144 seconds.
executed 29829 CPU instructions in 0.9242 seconds.
executed 29829 CPU instructions in 0.9034 seconds.
executed 29829 CPU instructions in 1.2570 seconds.
executed 29829 CPU instructions in 1.2611 seconds.
executed 29829 CPU instructions in 1.2564 seconds.
executed 29829 CPU instructions in 1.2522 seconds.
executed 29829 CPU instructions in 1.2405 seconds.
executed 29829 CPU instructions in 1.2497 seconds.
executed 29829 CPU instructions in 1.2495 seconds.
executed 29829 CPU instructions in 1.2681 seconds.
executed 29829 CPU instructions in 1.2655 seconds.

press enter to exit
         55598248 function calls (55595210 primitive calls) in 36.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45/12    0.000    0.000    0.002    0.000 typing.py:1464(_make_substitution)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      594    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      179    0.000    0.000    0.001    0.000 typing.py:1279(__init__)
      201    0.000    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
     1077    0.000    0.000    0.000    0.000 {built-in method builtins.min}
  150/146    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      232    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
      138    0.000    0.000    0.001    0.000 NESemupy.py:1387(INC_ABS)
      318    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
      881    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      180    0.000    0.000    0.001    0.000 NESemupy.py:1017(JMP_IND)
      138    0.000    0.000    0.001    0.000 NESemupy.py:1301(DEC_ABS)
      168    0.000    0.000    0.001    0.000 NESemupy.py:854(BMI)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      148    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
     1039    0.000    0.000    0.000    0.000 typing.py:1381(<genexpr>)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       39    0.000    0.000    0.000    0.000 typing.py:350(_flatten_literal_params)
       66    0.000    0.000    0.001    0.000 enum.py:1525(__and__)
       31    0.000    0.000    0.001    0.000 typing.py:1830(__class_getitem__)
       33    0.000    0.000    0.010    0.000 _compiler.py:740(compile)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.013    0.013 numerictypes.py:1(<module>)
      581    0.000    0.000    0.000    0.000 typing.py:1388(__eq__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       33    0.000    0.000    0.001    0.000 _compiler.py:511(_compile_info)
      429    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
      465    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
      159    0.000    0.000    0.001    0.000 {built-in method fromkeys}
       48    0.000    0.000    0.001    0.000 surfarray.py:150(pixels2d)
      333    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      148    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      284    0.000    0.000    0.000    0.000 NESemupy.py:874(SEC)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      569    0.000    0.000    0.000    0.000 _parser.py:256(match)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1687(<setcomp>)
    45/12    0.000    0.000    0.004    0.000 typing.py:1403(__getitem__)
      159    0.000    0.000    0.001    0.000 NESemupy.py:1297(CMP_ABS)
       20    0.000    0.000    0.000    0.000 {method 'tick' of 'pygame.time.Clock' objects}
       33    0.000    0.000    0.006    0.000 _parser.py:979(parse)
      324    0.000    0.000    0.002    0.000 typing.py:715(<genexpr>)
      210    0.000    0.000    0.000    0.000 enum.py:1507(_get_value)
       27    0.000    0.000    0.000    0.000 NESemupy.py:285(trigger_cpu_nmi)
        5    0.000    0.000    0.001    0.000 typing.py:2910(__new__)
      371    0.000    0.000    0.000    0.000 _parser.py:176(append)
      929    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      382    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
  293/233    0.000    0.000    0.000    0.000 typing.py:1394(__hash__)
      287    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      139    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      564    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
